Name	Role	Tons	Propulsion	Type
USS Eureka	Gunboat	50	Steam	Gunboat
USS Eutaw (1863)	Gunboat	1173	Steam	Gunboat
USS Exchange (1862)	Gunboat	211	Steam	Gunboat
USS Fairplay (1859)	Gunboat	156	Steam	Gunboat
USS Fairy (1861)	Gunboat	211	Steam	Gunboat
USS Fawn (1863)	Gunboat	174	Steam	Gunboat
USS Fernandina	Gunboat	297	Sail	Gunboat
USS Flag	Gunboat	938	Steam	Gunboat
USS Flambeau (1861)	Gunboat	850	Steam	Gunboat
USS Florida (1850)	Gunboat	1261	Steam	Gunboat
USS Fort Henry	Gunboat	552	Steam	Gunboat
USS Fort Hindman	Gunboat	286	Steam	Gunboat
USS Fort Morgan (1863)	Gunboat	1249	Steam	Gunboat
USS Fox (1859)	Gunboat	80	Sail	Gunboat
USS Fuchsia	Gunboat	240	Steam	Gunboat
USS Fulton (1837)	Gunboat	720	Steam	Gunboat
USS G. W. Blunt (1856)	Gunboat	121	Sail	Gunboat
USS Galatea (1863)	Gunboat	1244	Steam	Gunboat
USS Gazelle (1863)	Gunboat	117	Steam	Gunboat
USS Gem of the Sea	Gunboat	371	Sail	Gunboat
USS General Bragg	Gunboat	1043	Steam	Gunboat
USS General Burnside (1862)	Gunboat	201	Steam	Gunboat
USS General Grant	Gunboat	201	Steam	Gunboat
USS General Pillow	Gunboat	38	Steam	Gunboat
USS General Putnam (1857)	Gunboat	149	Steam	Gunboat
USS General Sherman	Gunboat	187	Steam	Gunboat
USS General Thomas (1864)	Gunboat	184	Steam	Gunboat
USS Genesee (1862)	Gunboat	803	Steam	Gunboat
USS George Mangham	Gunboat	274	Sail	Gunboat
USS George W. Rodgers	Gunboat	87	Sail	Gunboat
USS Geranium (1863)	Gunboat	223	Steam	Gunboat
USS Gertrude	Gunboat	350	Steam	Gunboat
USS Glasgow	Gunboat	428	Steam	Gunboat
USS Glaucus	Gunboat	1244	Steam, Sail	Gunboat
USS Glide (1862)	Gunboat	137	Steam	Gunboat
USS Glide (1863)	Gunboat	232	Steam	Gunboat
USS Governor Buckingham	Gunboat	886	Steam, Sail	Gunboat
USS Grand Gulf	Gunboat	1200	Steam	Gunboat
USS Granite (1862)	Gunboat	75	Sail	Gunboat
USS Granite City	Gunboat	450	Steam	Gunboat
USS Grosbeak (1865)	Gunboat	196	Steam	Gunboat
USS Hartford (1858)	Gunboat	2900	Steam, Sail	Gunboat
USS Harvest Moon (1863)	Gunboat	546	Steam	Gunboat
USS Hastings (1860)	Gunboat	293	Steam	Gunboat
USS Hendrick Hudson	Gunboat	460	Steam, Sail	Gunboat
USS Henry Andrew	Gunboat	177	Steam	Gunboat
USS Henry Brinker (1861)	Gunboat	108	Steam	Gunboat
USS Henry Janes (1861)	Gunboat	260	Steam, Sail	Gunboat
USS Hetzel (1861)	Gunboat	200	Steam	Gunboat
USS Hibiscus	Gunboat	490	Steam	Gunboat
USS Home	Gunboat	725	Steam	Gunboat
USS Honduras (1861)	Gunboat	376	Steam	Gunboat
USS Honeysuckle (1862)	Gunboat	241	Steam	Gunboat
USS Howquah (1863)	Gunboat	460	Steam	Gunboat
USS Hunchback	Gunboat	512	Steam	Gunboat
USS Huntress (1862)	Gunboat	211	Steam	Gunboat
USS Huntsville (1857)	Gunboat	860	Steam	Gunboat
USS Huron (1861)	Gunboat	691	Steam	Gunboat
USS Hyacinth (1862)	Gunboat	50	Steam	Gunboat
USS Hydrangea (1862)	Gunboat	224	Steam	Gunboat
USS Ice Boat (1861)	Gunboat	526	Steam	Gunboat
USS Ida	Gunboat	104	Steam	Gunboat
USS Indianola	Gunboat	511	Steam	Gunboat
USS Iosco	Gunboat	1173	Steam	Gunboat
USS Isonomia	Gunboat	593	Steam	Gunboat
USS Itasca (1861)	Gunboat	691	Steam	Gunboat
USS Iuka (1864)	Gunboat	944	Steam	Gunboat
USS Ivy (1862)	Gunboat	50	Steam	Gunboat
USS Jacob Bell (1842)	Gunboat	229	Steam	Gunboat
USS James L. Davis	Gunboat	461	Sail	Gunboat
USS James S. Chambers	Gunboat	401	Sail	Gunboat
USS John L. Lockwood	Gunboat	180	Steam	Gunboat
USS John P. Jackson (1860)	Gunboat	750	Steam	Gunboat
USS Jonquil	Gunboat	90	Steam	Gunboat
USS Juliet	Gunboat	157	Steam	Gunboat
USS Kanawha (1861)	Gunboat	691	Steam	Gunboat
USS Kansas (1863)	Gunboat	625	Steam	Gunboat
USS Katahdin (1861)	Gunboat	691	Steam	Gunboat
USS Kate (1864)	Gunboat	242	Steam	Gunboat
USS Kennebec (1861)	Gunboat	691	Steam	Gunboat
USS Kensington (1862)	Gunboat	1053	Steam	Gunboat
USS Kenwood (1863)	Gunboat	232	Steam	Gunboat
USS Key West (1862)	Gunboat	207	Steam	Gunboat
USS Kineo (1861)	Gunboat	691	Steam	Gunboat
USS Kingfisher (1861)	Gunboat	451	Sail	Gunboat
USS Kinsman (1854)	Gunboat	245	Steam	Gunboat
USS Kittatinny	Gunboat	450	Sail	Gunboat
USS Lexington (1861)	Gunboat	448	Steam	Gunboat
USS Lilian (1863)	Gunboat	630	Steam	Gunboat
USS Little Ada	Gunboat	150	Steam	Gunboat
USS Little Rebel (1859)	Gunboat	161	Steam	Gunboat
USS Lodona (1862)	Gunboat	688	Steam	Gunboat
USS Louisiana (1861)	Gunboat	295	Steam	Gunboat
USS Louisville (1861)	Gunboat	512	Steam	Gunboat
USS Mackinaw (1863)	Gunboat	974	Steam	Gunboat
USS Madgie (1858)	Gunboat	220	Steam	Gunboat
USS Magnolia	Gunboat	843	Steam, Sail	Gunboat
USS Malvern (1860)	Gunboat	1477	Steam	Gunboat
USS Manitou (1863)	Gunboat	286	Steam	Gunboat
USS Maratanza	Gunboat	786	Steam	Gunboat
USS Marblehead (1861)	Gunboat	691	Steam	Gunboat
USS Maria A. Wood	Gunboat	344	Sail	Gunboat
USS Marmora (1862)	Gunboat	207	Steam	Gunboat
USS Mary Sanford (1862)	Gunboat	457	Steam	Gunboat
USS Massachusetts (1860)	Gunboat	1515	Steam	Gunboat
USS Massasoit	Gunboat	974	Steam	Gunboat
USS Mattabesett (1863)	Gunboat	1173	Steam	Gunboat
USS Matthew Vassar	Gunboat	216	Sail	Gunboat
USS Maumee (1863)	Gunboat	593	Steam	Gunboat
USS Mercedita	Gunboat	1000	Steam	Gunboat
USS Metacomet (1863)	Gunboat	1173	Steam	Gunboat
USS Meteor (1863)	Gunboat	221	Steam	Gunboat
USS Midnight (1861)	Gunboat	387	Sail	Gunboat
USS Mingoe	Gunboat	974	Steam	Gunboat
USS Minnesota (1855)	Gunboat	3307	Steam	Gunboat
USS Mississippi (1841)	Gunboat	3220	Steam	Gunboat
USS Mist (1864)	Gunboat	232	Steam	Gunboat
USS Mobile (1854)	Gunboat	1275	Steam	Gunboat
USS Moccasin (1864)	Gunboat	192	Steam	Gunboat
USS Mohawk (1858)	Gunboat	464	Steam	Gunboat
USS Moose (1863)	Gunboat	189	Steam	Gunboat
USS Morning Light	Gunboat	937	Sail	Gunboat
USS Morse	Gunboat	514	Steam	Gunboat
USS Mound City (1861)	Gunboat	512	Steam	gunboat
USS Mount Vernon (1859)	Gunboat	625	Steam	Gunboat
USS Mount Washington (1846)	Gunboat	500	Steam	Gunboat
USS Mystic (1853)	Gunboat	452	Steam	Gunboat
USS Naiad (1863)	Gunboat	183	Steam	Gunboat
USS Nansemond (1862)	Gunboat	340	Steam	Gunboat
USS Narcissus (1863)	Gunboat	101	Steam	Gunboat
USS Narragansett (1859)	Gunboat	1235	Steam	Gunboat
USS Naumkeag (1863)	Gunboat	148	Steam	Gunboat
USS Neptune (1863)	Gunboat	1244	Steam	Gunboat
USS Nereus (1863)	Gunboat	1244	Steam	Gunboat
USS New Berne (1862)	Gunboat	948	Steam	Gunboat
USS New Era	Gunboat	157	Steam	Gunboat
USS New London	Gunboat	221	Steam	Gunboat
USS Niagara (1855)	Gunboat	5540	Steam, Sail	Gunboat
USS Nightingale (1851)	Gunboat	1066	Sail	Gunboat
USS Niphon (1863)	Gunboat	475	Steam	Gunboat
USS Nipsic	Gunboat	592	Steam, Sail	Gunboat
USS Nita	Gunboat	210	Steam	Gunboat
USS Norfolk Packet	Gunboat	349	Sail	Gunboat
USS Norwich (1861)	Gunboat	450	Steam	Gunboat
USS Nyanza (1863)	Gunboat	203	Steam	Gunboat
USS Octorara (1861)	Gunboat	829	Steam	Gunboat
USS Oliver H. Lee	Gunboat	199	Sail	Gunboat
USS Oneida (1861)	Gunboat	1488	Steam	Gunboat
USS Onward (1852)	Gunboat	874	Sail	Gunboat
USS Oriole (1864)	Gunboat	137	Steam	Gunboat
USS Orvetta (1861)	Gunboat	199	Sail	Gunboat
USS Osceola (1863)	Gunboat	974	Steam	Gunboat
USS Ossipee (1861)	Gunboat	1240	Steam	Gunboat
USS Otsego (1863)	Gunboat	974	Steam	Gunboat
USS Ottawa (1861)	Gunboat	691	Steam	Gunboat
USS Ouachita	Gunboat	720	Steam	Gunboat
USS Owasco (1861)	Gunboat	691	Steam	Gunboat
USS Para	Gunboat	200	Sail	Gunboat
USS Patroon (1859)	Gunboat	183	Steam	Gunboat
USS Paul Jones (1862)	Gunboat	1210	Steam	Gunboat
USS Paw Paw	Gunboat	175	Steam	Gunboat
USS Pawnee (1859)	Gunboat	1533	Steam, Sail	Gunboat
USS Pawtuxet	Gunboat	974	Steam	Gunboat
USS Pembina (1861)	Gunboat	691	Steam	Unadilla-class gunboat
USS Penguin (1861)	Gunboat	389	Steam	Gunboat
USS Penobscot (1861)	Gunboat	691	Steam	Gunboat
USS Pensacola (1859)	Gunboat	3000	Steam	Gunboat
USS Peony	Gunboat	180	Steam	Gunboat
USS Peosta	Gunboat	204	Steam	Gunboat
USS Perry (1843)	Gunboat	280	Sail	Gunboat
USS Peterhoff (1863)	Gunboat	412	Steam	Gunboat
USS Philippi	Gunboat	311	Steam	Gunboat
USS Pink	Gunboat	184	Steam	Gunboat
USS Pinola (1861)	Gunboat	691	Steam	Gunboat
USS Pittsburgh (1861)	Gunboat	512	Steam	Gunboat
USS Planter (1862)	Gunboat	313	Steam	Gunboat
USS Plymouth (1844)	Gunboat	989	Sail	Gunboat
USS Pocahontas (1852)	Gunboat	558	Steam, Sail	Gunboat
USS Polaris (1871)	Gunboat	383	Steam, Sail	Gunboat
USS Pontiac (1863)	Gunboat	974	Steam	Gunboat
USS Pontoosuc	Gunboat	974	Steam	Gunboat
USS Port Royal (1862)	Gunboat	805	Steam	Gunboat
USS Portsmouth (1843)	Gunboat	1022	Sail	Gunboat
USS Potomska (1861)	Gunboat	287	Steam	Gunboat
USS Prairie Bird	Gunboat	171	Steam	Gunboat
USS Preston (1864)	Gunboat	428	Steam	Gunboat
USS Preston (1865)	Gunboat	230	Steam	Gunboat
USS Primrose	Gunboat	94	Steam	Gunboat
USS Princess Royal	Gunboat	652	Steam	Gunboat
USS Princeton (1851)	Gunboat	1370	Steam	Gunboat
USS Proteus (1863)	Gunboat	1244	Steam	Gunboat
USS Pursuit (1861)	Gunboat	600	Sail	bark
USS Quaker City	Gunboat	1428	Steam	Gunboat
USS Queen City	Gunboat	212	Steam	Gunboat
USS R. R. Cuyler (1860)	Gunboat	1200	Steam	Gunboat
USS Racer (1861)	Gunboat	252	Sail	Gunboat
USS Rachel Seaman (1861)	Gunboat	303	Sail	Gunboat
USS Reindeer (1863)	Gunboat	212	Steam	Gunboat
USS Reliance (1860)	Gunboat	90	Steam	Gunboat
USS Rescue (1861)	Gunboat	111	Steam	Gunboat
USS Resolute (1860)	Gunboat	90	Steam	Gunboat
USS Restless (1861)	Gunboat	265	Sail	Gunboat
USS Rhode Island (1860)	Gunboat	1517	Steam	Gunboat
USS Richmond (1860)	Gunboat	2604	Steam	Gunboat
USS Rodolph	Gunboat	217	Steam	Gunboat
USS Roebuck	Gunboat	455	Sail	Gunboat
USS Rosalie	Gunboat	28	Sail	Gunboat
USS Sachem (1861)	Gunboat	197	Steam	Gunboat
USS Saco (1863)	Gunboat	593	Steam, Sail	Gunboat
USS Sacramento (1862)	Gunboat	2100	Steam	Gunboat
USS Saffron (1863)	Gunboat	73	Steam	Gunboat
USS Sagamore (1861)	Gunboat	691	Steam	Gunboat
USS Sam Houston (1861)	Gunboat	66	Sail	Gunboat
USS Samuel Rotan (1861)	Gunboat	212	Sail	Gunboat
USS Santee (1855)	Gunboat	1726	Sail	Gunboat
USS Santiago de Cuba	Gunboat	1567	Steam, Sail	Gunboat
USS Sarah Bruen (1862)	Gunboat	233	Sail	Gunboat
USS Saranac (1848)	Gunboat	1463	Steam, Sail	Gunboat
USS Sassacus (1862)	Gunboat	974	Steam	Gunboat
USS Sciota (1861)	Gunboat	691	Steam	Gunboat
USS Sea Bird	Gunboat	58	Sail	Gunboat
USS Sea Foam (1861)	Gunboat	251	Sail	Gunboat
USS Sebago (1861)	Gunboat	832	Steam	Gunboat
USS Seminole (1859)	Gunboat	801	Steam, Sail	Gunboat
USS Seneca (1861)	Gunboat	691	Steam	Gunboat
USS Shamrock	Gunboat	974	Steam	Gunboat
USS Shawmut (1863)	Gunboat	593	Steam	Gunboat
USS Shepherd Knapp	Gunboat	838	Sail	Gunboat
USS Shokokon	Gunboat	709	Steam	Warship
USS Sidney C. Jones	Gunboat	254	Sail	Gunboat
USS Signal (1862)	Gunboat	190	Steam	Gunboat
USS Silver Cloud (1862)	Gunboat	236	Steam	Gunboat
USS Silver Lake (1862)	Gunboat	236	Steam	Gunboat
USS Siren (1862)	Gunboat	214	Steam	Gunboat
USS Snowdrop (1863)	Gunboat	125	Steam	Gunboat
USS Somerset (1862)	Gunboat	521	Steam	Gunboat
USS Sonoma (1862)	Gunboat	955	Steam	Gunboat
USS Sophronia	Gunboat	217	Steam, Sail	Gunboat
USS South Carolina (1860)	Gunboat	1165	Steam	Gunboat
USS Southfield	Gunboat	750	Steam	Gunboat
USS Springfield (1862)	Gunboat	146	Steam	Gunboat
USS St. Clair	Gunboat	203	Steam	Gunboat
USS St. Louis (1828)	Gunboat	700	Sail	Gunboat
USS Stars and Stripes	Gunboat	407	Steam	Gunboat
USS State of Georgia (1851)	Gunboat	1204	Steam	Gunboat
USS Stepping Stones (1861)	Gunboat	226	Steam	Gunboat
USS Stettin (1861)	Gunboat	600	Steam	Gunboat
USS Stockdale (1863)	Gunboat	188	Steam	Gunboat
USS Sumpter (1853)	Gunboat	464	Steam	Gunboat
USS Sunflower (1863)	Gunboat	294	Steam	Gunboat
USS Suwanee (1864)	Gunboat	1030	Steam	Mohongo-class gunboat
USS Sweet Brier (1862)	Gunboat	240	Steam	Gunboat
USS T. A. Ward	Gunboat	284	Sail	Gunboat
USS Tacony (1863)	Gunboat	974	Steam	Gunboat
USS Tahoma (1861)	Gunboat	691	Steam	Gunboat
USS Ta-Kiang	Gunboat	510	Steam	Gunboat
USS Tallahatchie (1863)	Gunboat	171	Steam	Gunboat
USS Tallapoosa (1863)	Gunboat	974	Steam	Gunboat
USS Tawah	Gunboat	108	Steam	Gunboat
USS Tempest (1862)	Gunboat	161	Steam	Gunboat
USS Tensas (1860)	Gunboat	41	Steam	Gunboat
USS Thistle (1862)	Gunboat	50	Steam	Gunboat
USS Thomas Freeborn	Gunboat	269	Steam	Gunboat
USS Tioga (1862)	Gunboat	819	Steam	Gunboat
USS Trefoil (1865)	Gunboat	370	Steam	Gunboat
USS Tristram Shandy	Gunboat	444	Steam	Gunboat
USS Tulip (1862)	Gunboat	183	Steam	Gunboat
USS Tuscumbia (1862)	Gunboat	915	Steam	Gunboat
USS Two Sisters	Gunboat	54	Sail	Gunboat
USS Tyler	Gunboat	575	Steam	Gunboat
USS Unadilla (1861)	Gunboat	691	Steam	Gunboat
USS Uncas (1843)	Gunboat	192	Steam	Gunboat
USS Undine (1863)	Gunboat	179	Steam	Gunboat
USS Union (1861)	Gunboat	1114	Steam	Gunboat
USS Valley City	Gunboat	190	Steam	Gunboat
USS Vandalia (1828)	Gunboat	614	Sail	Gunboat
USS Vanderbilt	Gunboat	3360	Steam	Gunboat
USS Varuna (1861)	Gunboat	1247	Steam	Gunboat
USS Velocity (1862)	Gunboat	87	Sail	Gunboat
USS Verbena	Gunboat	104	Steam	Gunboat
USS Vicksburg (1863)	Gunboat	886	Steam	Gunboat
USS Victoria (1855)	Gunboat	254	Steam	Gunboat
USS Victory	Gunboat	160	Steam	Gunboat
USS Vindicator (1863)	Gunboat	750	Steam	Gunboat
USS Violet	Gunboat	166	Steam	Gunboat
USS Virginia (1861)	Gunboat	581	Steam	Gunboat
USS Volunteer (1863)	Gunboat	209	Steam	Gunboat
USS Wabash (1855)	Gunboat	4808	Steam, Sail	Gunboat
USS Wachusett (1861)	Gunboat	1032	Steam, Sail	Gunboat
USS Wamsutta	Gunboat	270	Steam	Gunboat
USS Wanderer (1857)	Gunboat	300	Sail	Gunboat
USS Wando (1864)	Gunboat	645	Steam	Gunboat
USS Warren (1827)	Gunboat	697	Sail	Gunboat
USS Water Witch (1851)	Gunboat	464	Steam	Gunboat
USS Wateree (1863)	Gunboat	1173	Steam	Gunboat
USS Wave (1863)	Gunboat	229	Steam	Gunboat
USS Western World	Gunboat	441	Steam	Gunboat
USS Westfield (1861)	Gunboat	822	Steam	Gunboat
USS Whitehall (1850)	Gunboat	326	Steam	Gunboat
USS Whitehead	Gunboat	136	Steam	Gunboat
USS Wilderness	Gunboat	390	Steam	Gunboat
USS William Bacon	Gunboat	183	Sail	Gunboat
USS William G. Anderson	Gunboat	593	Sail	Gunboat
USS William H. Brown	Gunboat	800	Steam	Gunboat
USS Winnipec	Gunboat	1030	Steam	Mohongo-class gunboat
