,ix,name,description,propulsion
0,,USS Bazely (1863),Patrol vessel of the United States Navy,  steam engine   screw-propelled  
0,,USS Beauregard,Gunboat of the United States Navy,
0,,USS Belle,Tugboat of the United States Navy,  marine steam engine   screw propeller  
0,,USS Belle Italia,Gunboat of the United States Navy,
0,,USS Ben Morgan,M,
0,,USS Benefit,Ship,  steam engine   side wheel-propelled  
0,,USS Benton,Gunboat of the United States Navy,  Steam-driven stern paddlewheel   two inclined engines  
0,,USS Berberry,Tugboat of the United States Navy,Steam engine
0,,USS Bermuda,Cargo ship of the United States Navy,  steam engine   screw-propelled  
0,,USS Bibb (1853),Tugboat of the United States Navy,Steam engine
0,,USS Bienville,Gunboat of the United States Navy,Sidewheels
0,,USS Black Hawk (1848),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,Black Terror (ship),Fake warship used in American Civil War,
0,,USS Bloomer,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Blue Light,Tugboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Bohio (1856),M,
0,,USS Brandywine,Cargo ship of the United States Navy,
0,,USS Braziliera,Gunboat of the United States Navy,
0,,USS Breaker (1862),Gunboat of the United States Navy,
0,,USS Brilliant (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Britannia,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Brockenborough,US ship in its Civil War,
0,,USS Brooklyn (1858),Sloops-of-war of the United States Navy,
0,,USS Buckthorn (1863),Tender of the United States Navy,  steam engine   screw-propelled  
0,,USS C. P. Williams,Gunboat of the United States Navy,
0,,USS Cactus,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Cairo,American Civil War ironclad warship,"  Steam engine  with 22 inches (560 mm) cylinder and stroke of 6 feet (1.8 m), fed by five fire-tube boilers at 140 psi (970 kPa) [1] [2]   paddle wheel-propelled  "
0,,USS Calhoun (1851),Gunboat of the United States Navy,  Steam engine   side-paddle  
0,,USS Calypso (1863),Gunboat of the United States Navy,  steam engine   screw propelled  
0,,USS Cambridge (1860),Gunboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Camelia (1862),Gunboat of the United States Navy,  steam engine   screw propelled  
0,,USS Canandaigua (1862),Gunboat of the United States Navy,steam engine
0,,USS Canonicus (1863),1863 Canonicus-class monitor,  1 ×  Propeller   1 ×  Ericsson   Vibrating-lever steam engine  
0,,USS Carnation (1863),Gunboat of the United States Navy,  steam engine   screw propelled  
0,,USS Carondelet,Gunboat of the United States Navy,Steam engine
0,,USS Carrabasset (1864),Gunboat of the United States Navy,  steam engine   Side wheel-propelled  
0,,USS Casco (1864),Torpedo boat of the United States Navy,
0,,USS Catalpa (1864),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Catawba (1864),Canonicus-class monitor,  1 ×  Propeller   1 ×  Ericsson   Vibrating-lever steam engine  
0,,USS Catskill (1862),M,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Cayuga (1861),Unadilla-class gunboat,IHP bore stroke back-acting
0,,USS Ceres,Gunboat of the United States Navy,Steam engine
0,,USS Champion (1859),Gunboat of the United States Navy,  Steam engine   side wheel-propelled  
0,,USS Charles Phelps,Collier of the United States Navy,
0,,USS Charlotte (1862),Union Navy schooner,
0,,USS Chatham (1836),American Civil War-era steamship,  steam engine   side wheel-propelled  
0,,USS Chattanooga (1864),Unused wooden steam ship,  1 shaft   2 ×  horizontal back-acting steam engines   8 ×  boilers  
0,,USS Chenango (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Cherokee (1859),Gunboat of the United States Navy,
0,,USS Chickasaw (1864),Milwaukee-class American river monitor,  4 × Shafts   2 ×  Non-condensing steam engines  
0,,USS Chicopee (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Chillicothe (1862),Gunboat of the United States Navy,
0,,USS Chimo (1864),Torpedo boat of the United States Navy,
0,,USS Chippewa (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Choctaw (1856),Union gunboat and ram,  steam engine   side wheel-propelled  
0,,USS Chocura (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Chotank (1861),M,
0,,USS Cimarron (1862),Gunboat of the United States Navy,  steam engine   side wheel-propelled   double ended  
0,,USS Cincinnati (1861),Gunboat of the United States Navy,
0,,USS Circassian,Cargo ship of the United States Navy,  steam engine   screw-propelled  
0,,City-class ironclad,Mississippi River gunboat of the Americans civil war,
0,,USS Clara Dolsen,M,  steam engine   screw-propelled  
0,,USS Clematis (1863),Tugboat of the United States Navy,steam engine
0,,USS Clifton (1861),Gunboat of the United States Navy,  Walking beam steam engine   side paddle wheels  
0,,USS Clinton (1864),Tugboat of the United States Navy,screw propeller
0,,USS Clover (1863),Gunboat of the United States Navy,Steam engine
0,,USS Clyde (1863),Gunboat of the United States Navy,  Steam engine   side wheel-propelled  
0,,USS Coeur de Lion,M,  steam engine   side-wheel propelled  
0,,USS Cohasset (1860),Gunboat of the United States Navy,Steam engine
0,,USS Collier,Gunboat of the United States Navy,  Steam engine   Stern-wheel  
0,,USS Colorado (1856),M,Steam engine
0,,USS Colossus (1864),Gunboat of the United States Navy,  steam engine   stern-wheel propelled  
0,,USS Columbia (1836),M,
0,,USS Columbia (1862),Gunboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Columbia (1864),M,
0,,USS Columbine (1862),US Navy side-wheel steamer in service 1862-1864,  Steam engine   side wheel-propelled  
0,,USS Columbus (1819),90-gun ship of the line in the United States Navy,
0,,USS Commodore (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Commodore Barney,Gunboat of the United States Navy,  Steam engine   side-wheel propelled  
0,,USS Commodore Hull,Gunboat of the United States Navy,  Steam engine   side-wheel propelled  
0,,USS Commodore Jones,Gunboat of the United States Navy,  Steam engine   side-wheel propelled  
0,,USS Commodore McDonough,Gunboat of the United States Navy,  Steam engine   side-wheel propelled  
0,,USS Commodore Morris,Gunboat of the United States Navy,  Steam engine   side-wheel propelled  
0,,USS Commodore Perry,Gunboat of the United States Navy,  Steam engine   side wheel-propelled  
0,,USS Commodore Read,Gunboat of the United States Navy,Steam engine
0,,USS Conemaugh (1862),Gunboat of the United States Navy,  Steam engine   side-wheel propelled  
0,,USS Conestoga (1862),M,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Conestoga (1861),Boat converted by the navy into 572-ton river gunboat,
0,,USS Congress (1841),M,
0,,USS Connecticut (1861),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Constellation (1854),Last sail-only warship designed and built by the United States Navy,
0,,Corea (ship),M,
0,,USS Cornubia (1858),Gunboat of the United States Navy,  2 × Harvey  steam engines   4 × boilers   2 ×  side-wheels  
0,,USS Corwin (1849),Gunboat of the United States Navy,  Steam engine   side wheel-propelled  
0,,USS Corypheus (1862),Gunboat of the United States Navy,
0,,USS Cossack (1861),M,
0,,USS Courier (1861),Gunboat of the United States Navy,
0,,USS Covington (1863),Union Navy gunboat,  steam engine   side wheel-propelled  
0,,USS Cowslip (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Cricket,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Crocus (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Crusader (1858),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Cumberland (1842),M,
0,,USS Curlew (1862),Gunboat of the United States Navy,steam engines
0,,USS Currituck (1843),Gunboat of the United States Navy,steam engine
0,,USS Dacotah,Gunboat of the United States Navy,steam engine
0,,USS Daffodil (1862),M,
0,,USS Dahlia (1862),American Civil War-era tugboat,steam engine
0,,USS Dai Ching (1863),M,
0,,USS Daisy (1850),Tugboat of the United States Navy,Steam engine
0,,USS Dale (1839),Sloops-of-war of the United States Navy,
0,,USS Dan Smith,M,
0,,USS Dandelion (1862),M,steam engine
0,,USS Darlington (1862),M,  steam engine   side-wheel propelled  
0,,USS Dart (1861),Gunboat of the United States Navy,
0,,USS Dawn (1857),M,  Steam engine   screw-propelled  
0,,USS Daylight,M,  steam engine   screw propeller  
0,,USS De Soto (1859),U.S. gunboat,  1 ×  vertical beam  (65 in × 11 ft)   2 × 30-ft diameter sidewheels; auxiliary sails  
0,,USS Decatur (1839),Gunboat of the United States Navy,
0,,USS Delaware (1820),74-gun ship of the line,
0,,USS Delaware (1861),Gunboat of the United States Navy,"  1 ×  walking beam engine ,38 in (0.97 m) diameter × 10 ft (3.0 m) stroke   side wheel propelled  "
0,,USS Delta (1864),Tugboat of the United States Navy,Steam engine
0,,USS Diana,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Dolphin (1836),M,
0,,USS Don,M,"  Steam engine ,   screw-propelled  "
0,,USS Donegal (1860),Union Navy steamship,"  Steam engine ,   side-wheel propelled  "
0,,USS Dragon,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Dumbarton,M,  Steam engine   side-wheel propelled  
0,,USS E. B. Hale (1861),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Eastport (1862),Gunboat of the United States Navy,steam engine
0,,USS Elfin (1864),Gunboat of the United States Navy,steam engine
0,,USS Elk (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Ella (1859),Gunboat of the United States Navy,
0,,USS Ellen (1853),Gunboat of the United States Navy,Steam engine
0,,USS Ellis (1862),M,
0,,USS Emerald (1864),M,Steam engine
0,,USS Emily,M,
0,,USS Emma (1863),Steamer,  Greenock Foundry Company [2]   steam engine   screw-propelled  
0,,USS Eolus (1864),Gunboat of the United States Navy,
0,,USS Epsilon,Tugboat of the United States Navy,steam engine
0,,Era No. 5,M,
0,,USS Essex (1856),M,
0,,USS Estrella (1862),Gunboat of the United States Navy,  two-cylinder  oscillating steam engine   side wheels  
0,,USS Ethan Allen (1859),Gunboat of the United States Navy,
0,,USS Eugenie,Tender of the United States Navy,
0,,USS Eureka,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Eutaw (1863),Gunboat of the United States Navy,Steam engine
0,,USS Exchange (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Fahkee,Former tugboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Fairplay (1859),M,
0,,USS Fairy (1861),Gunboat of the United States Navy,  steam engine   sternwheel-propelled  
0,,USS Falmouth (1827),Sloops-of-war of the United States Navy,
0,,USS Fawn (1863),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Fearnot,Cargo ship of the United States Navy,
0,,USS Fern (1862),Tugboat of the United States Navy,steam engine
0,,USS Fernandina,Gunboat of the United States Navy,
0,,USS Flag,Gunboat of the United States Navy,  400 hp (300 kW) Merrick & Sons  Steam engine   screw-propelled  
0,,USS Flambeau (1861),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Florida (1850),Gunboat of the United States Navy,Steam engine
0,,USS Flusser (1864),Cargo ship of the United States Navy,
0,,USS Forest Rose (1862),Gunboat of the United States Navy,
0,,USS Fort Donelson,M,
0,,USS Fort Henry,Gunboat of the United States Navy,Steam engine
0,,USS Fort Hindman,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Fort Jackson (1862),M,Steam engine
0,,USS Fort Morgan (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USRC Forward (1842),Revenue cutter of the United States,
0,,USS Fox (1859),Gunboat of the United States Navy,
0,,USS Frances Henrietta,M,
0,,USS Fredonia,Cargo ship of the United States Navy,
0,,USS Fuchsia,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Fulton (1837),Gunboat of the United States Navy,steam engine
0,,USS G. L. Brockenborough,Gunboat of the United States Navy,
0,,USS G. W. Blunt (1856),Gunboat of the United States Navy,
0,,USS Galatea (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Gamage (1864),Large steamer,  steam engine   side wheel-propelled  
0,,USS Gamma (1863),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Garland (1815),Ship of the Union Navy during the American Civil War,
0,,USS Gazelle (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Gem of the Sea,Gunboat of the United States Navy,
0,,USS Gemsbok (1861),Gunboat of the United States Navy,
0,,USS General Bragg,Gunboat of the United States Navy,Steam engine
0,,USS General Burnside (1862),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS General Grant,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS General Lyon (1860),Cargo ship of the United States Navy,  steam engine   side wheel-propelled  
0,,USS General Pillow,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS General Price,M,
0,,USS General Putnam (1857),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS General Sherman,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS General Thomas (1864),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Genesee (1862),Gunboat of the United States Navy,
0,,USS George Mangham,Gunboat of the United States Navy,
0,,George W. Blunt (1856),Pilot boat,
0,,USS George W. Rodgers,Gunboat of the United States Navy,
0,,USS George Washington Parke Custis (1861),M,
0,,USS Geranium (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Germantown (1846),Sloops-of-war of the United States Navy,
0,,USS Gertrude,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Gettysburg (1858),M,Steam engine
0,,USS Gladiolus,Minesweeper of the United States Navy,  steam engine   screw-propelled  
0,,USS Glance (1863),Tugboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Glasgow,Gunboat of the United States Navy,  2  Oscillating steam engines   side wheel-propelled  
0,,USS Glaucus,Gunboat of the United States Navy,
0,,USS Glide (1862),Gunboat of the United States Navy,  Steam engine   stern  paddlewheel  
0,,USS Glide (1863),Gunboat of the United States Navy,
0,,USS Governor Buckingham,Gunboat of the United States Navy,
0,,USS Grampus (1863),M,
0,,USS Grand Gulf,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Granite (1862),Gunboat of the United States Navy,
0,,USS Granite City,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Great Western (1857),Ammunition ship of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Grosbeak (1865),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Guard (1857),Cargo ship of the United States Navy,sail
0,,USS Harcourt (1864),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USRC Harriet Lane,Revenue cutter of the United States,
0,,USS Hartford (1858),Gunboat of the United States Navy,Steam engine
0,,USS Harvest (1861),M,
0,,USS Harvest Moon (1863),Gunboat of the United States Navy,"  steam engine ,   side-wheel propelled  "
0,,USS Hastings (1860),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Hatteras (1861),Union Navy ship,  Steam engine   2 × iron sidewheels  
0,,USS Heliotrope,Wooden steamer of the Union Navy,  steam engine   side wheel-propelled  
0,,USS Hendrick Hudson,Gunboat of the United States Navy,  steam engine   screw-propelled   with sail assist  
0,,"Henrietta (ship, 1861)", Schooner Yacht,schooner
0,,USS Henry Andrew,Gunboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Henry Brinker (1861),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Henry Janes (1861),Gunboat of the United States Navy,  schooner  sail   with  steam engine  assist  
0,,USS Hero (1861),Wooden schooner,
0,,USS Hetzel (1861),Gunboat of the United States Navy,  Steam engine   Side wheel-propelled  
0,,USS Hibiscus,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Hollyhock,Tugboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Home,Gunboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Honduras (1861),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Honeysuckle (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Hope (1861),Yacht used as a US dispatch boat and pilot boat,schooner
0,,USS Horace Beals,Cargo ship of the United States Navy,
0,,USS Hornet (1865),M,
0,,USS Housatonic (1861),Sloops-of-war of the United States Navy,
0,,USS Howell Cobb (1861),Cargo ship of the United States Navy,Sails
0,,USS Howquah (1863),Gunboat of the United States Navy,
0,,USS Hoyt (1863),Torpedo boat of the United States Navy,  steam engine   screw-propelled  
0,,USS Hunchback,Gunboat of the United States Navy,bore stroke vertical beam steam engine sidewheels
0,,USS Huntress (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Huntsville (1857),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Huron (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Hyacinth (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Hydrangea (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Ibex (1863),M,  steam engine   side wheel-propelled  
0,,USS Ice Boat (1861),Gunboat of the United States Navy,steam engine
0,,USS Ida,Gunboat of the United States Navy,steam engine screw-propelled
0,,USS Idaho (1864),Sloops-of-war of the United States Navy,steam engine
0,,USS Indianola,American casemate ironclad,
0,,USS Ino,Union Navy clipper ship,
0,,USS Iosco,Gunboat of the United States Navy,
0,,USS Iris (1863),M,  steam engine   side wheel-propelled  
0,,USS Iron Age,M,  steam engine   screw-propelled  
0,,USS Iroquois (1859),War ship,
0,,USS Isaac N. Seymour,M,
0,,USS Isaac Smith,M,  steam engine   screw-propelled  
0,,USS Isilda (1861),M,
0,,USS Island Belle,Tugboat of the United States Navy,steam engine
0,,USS Isonomia,M,Steam engine
0,,USS Itasca (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Iuka (1864),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Ivy (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS J. C. Kuhn,Cargo ship of the United States Navy,
0,,USS J. W. Wilder,Tender of the United States Navy,
0,,USRC Jackson (1832),M,
0,,USS Jacob Bell (1842),Gunboat of the United States Navy,steam engine
0,,USS James Adger,M,
0,,USS James L. Davis,Gunboat of the United States Navy,
0,,USS James S. Chambers,Gunboat of the United States Navy,
0,,USS Jamestown (1844),Cargo ship of the United States Navy,
0,,USS Jasmine,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Jean Sands (1863),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS John Adams (1799),M,
0,,USS John Griffith,Mortar schooner acquired by the Union Navy,
0,,USS John L. Lockwood,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS John P. Jackson (1860),Gunboat of the United States Navy,steam engine
0,,USS Jonquil,Gunboat of the United States Navy,  marine steam engine   screw propelled  
0,,USS Judge Torrence,Ammunition ship of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Julia (1863),Tender of the United States Navy,
0,,USS Juliet,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Juniata (1862),Sloops-of-war of the United States Navy,Steam engine
0,,USS Juniper,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Kalmia (1863),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Kanawha (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Kansas (1863),Gunboat of the United States Navy,steam engine
0,,USS Katahdin (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Kate (1864),Gunboat of the United States Navy,steam engine
0,,USS Kearsarge (1861),Sloops-of-war of the United States Navy,Steam engine
0,,USS Kennebec (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Kensington (1861),M,
0,,USS Kensington (1862),Gunboat of the United States Navy,Steam engine
0,,USS Kenwood (1863),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Key West (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Keystone State (1853),M,  Steam engine   sidewheel-propelled  
0,,USS Kickapoo (1864),Milwaukee-class river monitor,  4 × Shafts   2 ×  Non-condensing steam engines  
0,,USS Kineo (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS King Philip,M,  steam engine   side wheel-propelled  
0,,USS Kingfisher (1861),Gunboat of the United States Navy,
0,,USS Kinsman (1854),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Kittatinny,Gunboat of the United States Navy,
0,,L. C. Richmond,M,
0,,USS Laburnum (1864),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Lackawanna (1862),Sloops-of-war of the United States Navy,steam engine screw-propelled
0,,USS Lafayette (1848),Side wheel steamer,
0,,USS Lancaster (1858),Sloops-of-war of the United States Navy,Steam engine
0,,USS Larkspur (1863),M,  steam engine   screw-propelled  
0,,USS Laurel (1862),Tugboat of the United States Navy,Screw steamer
0,,USS Lavender,M,  steam engine   screw-propelled  
0,,USS Lehigh (1863),M,Martin boilers
0,,USS Lenapee,American Navy vessel,  steam engine   side wheel-propelled   double ended  
0,,USS Leonidas (1861),M,
0,,USS Leslie,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Lewis (1861),M,
0,,USS Lexington (1861),US Navy timberclad warship,
0,,USS Lilac (1863),Tugboat of the United States Navy,steam engine
0,,USS Lilian (1863),Gunboat of the United States Navy,  steam engine   wide side wheel-propelled  
0,,USS Lily,Tugboat of the United States Navy,steam engine
0,,USS Linden,Union Navy (US) sidewheel steamship,  steam engine   side wheel-propelled  
0,,USS Little Ada,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Little Rebel (1859),Gunboat of the United States Navy,Steam engine
0,,USS Lodona (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Louisiana (1861),Gunboat of the United States Navy,  1 inverted direct-acting condensing engine   1 return-flue boiler   1 four-blade propeller  
0,,USS Louisville (1861),Gunboat of the United States Navy,steam engines
0,,USS Macedonian (1836),M,
0,,USS Mackinaw (1863),Gunboat of the United States Navy,
0,,USS Madgie (1858),Gunboat of the United States Navy,steam engine
0,,USS Magnolia,Gunboat of the United States Navy,"  2 ×  Vertical beam   steam engine , [1]     2 × sidewheels   auxiliary sails  "
0,,USS Mahopac (1864),Canonicus-class monitor,  1 ×  Propeller   1 ×  Vibrating-lever steam engine  
0,,USS Mail,Tender of the United States Navy,
0,,USS Malvern (1860),Gunboat of the United States Navy,Steam engine
0,,USS Manayunk (1864),Union Canonicus class monitor,  1 ×  Propeller   1 ×  Ericsson   Vibrating-lever steam engine  
0,,USS Manhattan (1863),Canonicus-class monitor,  1 ×  Propeller   1 ×  Vibrating-lever steam engine  
0,,USS Manitou (1863),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Maratanza,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Marblehead (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Margaret Scott (1861),M,
0,,USS Maria A. Wood,Gunboat of the United States Navy,schooner
0,,USS Maria J. Carlton,Union schooner during the American Civil War,
0,,USS Maria Denning (1858),Cargo ship of the United States Navy,Steam engine
0,,USS Maria Theresa (1861),M,
0,,Marietta-class monitor,United States Navy's Marietta-class monitors,  4 × boilers   2 ×  steam engines   1 × propeller  
0,,USS Marigold (1863),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Marion (1839),Sloops-of-war of the United States Navy,
