,index,name,description,tonnage,propulsion
4,345.0,USS Katahdin (1861),Gunboat of the United States Navy,, engines; single screw
0,347.0,USS Kearsarge (1861),Sloops-of-war of the United States Navy,,/Sails
0,348.0,USS Kennebec (1861),Gunboat of the United States Navy,,2 × 200 
1,348.0,USS Kennebec (1861),Gunboat of the United States Navy,, 30-in 
2,348.0,USS Kennebec (1861),Gunboat of the United States Navy,, by 18 in 
3,348.0,USS Kennebec (1861),Gunboat of the United States Navy,, horizontal 
4,348.0,USS Kennebec (1861),Gunboat of the United States Navy,, engines; single screw
0,355.0,USS Kineo (1861),Gunboat of the United States Navy,,2 × 200 
1,355.0,USS Kineo (1861),Gunboat of the United States Navy,, 30-in 
2,355.0,USS Kineo (1861),Gunboat of the United States Navy,, by 18 in 
3,355.0,USS Kineo (1861),Gunboat of the United States Navy,, horizontal 
4,355.0,USS Kineo (1861),Gunboat of the United States Navy,, engines; single screw
0,359.0,USS Kittatinny,Gunboat of the United States Navy,,sail
0,362.0,USS Lackawanna (1862),Sloops-of-war of the United States Navy,,", "
0,363.0,USS Lafayette (1848),Side wheel steamer,,Steam engine
0,368.0,USS Lehigh (1863),M,,2 
1,368.0,USS Lehigh (1863),M,,", 1-shaft Ericsson vibrating lever engine, 320 ihp (235 kW)"
0,373.0,USS Lexington (1861),US Navy timberclad warship,,Steam engine
0,379.0,USS Little Rebel (1859),Gunboat of the United States Navy,,", screw-propelled"
0,382.0,USS Louisville (1861),Gunboat of the United States Navy,,"Centerline paddlewheel, two horizontal "
0,383.0,USS Macedonian (1836),M,,Sails
0,384.0,USS Mackinaw (1863),Gunboat of the United States Navy,,Sidewheels
0,385.0,USS Madgie (1858),Gunboat of the United States Navy,,", screw"
0,388.0,USS Mail,Tender of the United States Navy,,sail
0,394.0,USS Marblehead (1861),Gunboat of the United States Navy,,2 × 200 
1,394.0,USS Marblehead (1861),Gunboat of the United States Navy,, 30-in 
2,394.0,USS Marblehead (1861),Gunboat of the United States Navy,, by 18 in 
3,394.0,USS Marblehead (1861),Gunboat of the United States Navy,, horizontal 
4,394.0,USS Marblehead (1861),Gunboat of the United States Navy,, engines; single screw
0,396.0,USS Maria A. Wood,Gunboat of the United States Navy,, sail
0,398.0,USS Maria Denning (1858),Cargo ship of the United States Navy,, side wheel-propelled
0,402.0,USS Marion (1839),Sloops-of-war of the United States Navy,,Sail
0,403.0,USS Marmora (1862),Gunboat of the United States Navy,,2 steam engines
0,405.0,USS Mary Sanford (1862),Gunboat of the United States Navy,,     screw-propelled
0,409.0,USS Mattabesett (1863),Gunboat of the United States Navy,,2 × sidewheels
0,410.0,USS Matthew Vassar,Gunboat of the United States Navy,,sail
0,412.0,USS Memphis (1862),M,,Single screw propeller
0,415.0,USS Merrimac (1864),Sidewheel steamer,,Steam
0,416.0,USS Merrimack (1855),U.S. Navy Steam frigate,,"sail, steam engine"
0,419.0,USS Meteor (1863),Gunboat of the United States Navy,,"steam engine, side wheel"
0,421.0,USS Miantonomoh (1863),Lead ship of Miantonomoh-class,,2 shafts; 2 
0,422.0,USS Michigan (1843),M,,2 × 330 ihp (250 kW) 
0,423.0,USS Midnight (1861),Gunboat of the United States Navy,,sail
0,427.0,USS Minnesota (1855),Gunboat of the United States Navy,,Steam engine
0,428.0,USS Mississippi (1841),Gunboat of the United States Navy,,Steam engine
0,435.0,USS Monadnock (1863),Miantonomoh-class monitor,,2 shafts; 2 
0,436.0,USS Monarch (1862),M,,Side-wheel steamer
0,443.0,USS Morning Light,Gunboat of the United States Navy,,sail
0,444.0,USS Morse,Gunboat of the United States Navy,,1 × 500 
1,444.0,USS Morse,Gunboat of the United States Navy,,", 38-in "
2,444.0,USS Morse,Gunboat of the United States Navy,, × 9 ft 
3,444.0,USS Morse,Gunboat of the United States Navy,, 
4,444.0,USS Morse,Gunboat of the United States Navy,, 
5,444.0,USS Morse,Gunboat of the United States Navy,,; side 
0,445.0,USS Mound City (1861),Civil War gunboat,,Steam-driven sternwheel
0,453.0,USS Nantucket (1862),M,,2 
1,453.0,USS Nantucket (1862),M,,", 1-shaft Ericsson vibrating lever engine, 320  ihp "
0,457.0,USS Naubuc (1864),Torpedo boat of the United States Navy,,Screw steamer
0,467.0,USS New Hampshire (1864),New Hampshire named ship,,Sail
0,470.0,USS Niagara (1855),Gunboat of the United States Navy,,Sails / 
0,471.0,USS Nightingale (1851),Gunboat of the United States Navy,,Sail
0,472.0,USS Niphon (1863),Gunboat of the United States Navy,,", screw"
0,476.0,USS Norfolk Packet,Gunboat of the United States Navy,, sail
0,480.0,USS O. M. Pettit,Tugboat of the United States Navy,,", "
0,482.0,USS Ohio (1820),1820 ship of the line,,Sail
0,484.0,USS Oliver H. Lee,Gunboat of the United States Navy,,sail
0,487.0,USS Onward (1852),Gunboat of the United States Navy,,Sails
0,488.0,USS Oriole (1864),Gunboat of the United States Navy,,", "
0,490.0,USS Orvetta (1861),Gunboat of the United States Navy,,sail
0,491.0,USS Osceola (1863),Gunboat of the United States Navy,,Steam
0,494.0,USS Ottawa (1861),Gunboat of the United States Navy,,2 × 200 
1,494.0,USS Ottawa (1861),Gunboat of the United States Navy,, 30-in 
2,494.0,USS Ottawa (1861),Gunboat of the United States Navy,, by 18 in 
3,494.0,USS Ottawa (1861),Gunboat of the United States Navy,, horizontal 
4,494.0,USS Ottawa (1861),Gunboat of the United States Navy,, engines; single screw
0,496.0,USS Owasco (1861),Gunboat of the United States Navy,,2 × 200 
1,496.0,USS Owasco (1861),Gunboat of the United States Navy,, 30-in 
2,496.0,USS Owasco (1861),Gunboat of the United States Navy,, by 18 in 
3,496.0,USS Owasco (1861),Gunboat of the United States Navy,, horizontal 
4,496.0,USS Owasco (1861),Gunboat of the United States Navy,, engines; single screw
0,498.0,USS Pampero,Cargo ship of the United States Navy,,Sail
0,500.0,USS Para,Gunboat of the United States Navy,,Sail
0,501.0,USS Passaic (1862),M,,2 
1,501.0,USS Passaic (1862),M,,", 1-shaft Ericsson vibrating lever engine, 320 "
2,501.0,USS Passaic (1862),M,, (240 
3,501.0,USS Passaic (1862),M,,)
0,503.0,USS Patriot (1861),Cargo ship of the United States Navy,, sail
0,505.0,USS Paul Jones (1862),Gunboat of the United States Navy,,"steam engine, side wheel-propelled"
0,508.0,USS Pawnee (1859),Gunboat of the United States Navy,,/Sail
0,510.0,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,,2 × 200 
1,510.0,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, 30-in 
2,510.0,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, by 18 in 
3,510.0,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, horizontal 
4,510.0,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,, engines; single screw
0,513.0,USS Penobscot (1861),Gunboat of the United States Navy,,2 × 200 
1,513.0,USS Penobscot (1861),Gunboat of the United States Navy,, 30-in 
2,513.0,USS Penobscot (1861),Gunboat of the United States Navy,, by 18 in 
3,513.0,USS Penobscot (1861),Gunboat of the United States Navy,, horizontal 
4,513.0,USS Penobscot (1861),Gunboat of the United States Navy,, engines; single screw
0,516.0,USS Peosta,Gunboat of the United States Navy,,", side-wheel propelled"
0,518.0,USS Percy Drayton,Tender of the United States Navy,, sail
0,520.0,USS Perry (1843),Gunboat of the United States Navy,,sail
0,522.0,USS Peterhoff (1863),Gunboat of the United States Navy,,140 hp (100 kW) 
1,522.0,USS Peterhoff (1863),Gunboat of the United States Navy,,", screw-propelled"
0,525.0,USS Philippi,Gunboat of the United States Navy,, with 
0,529.0,USS Pinola (1861),Gunboat of the United States Navy,,2 × 200 
1,529.0,USS Pinola (1861),Gunboat of the United States Navy,, 30-in 
2,529.0,USS Pinola (1861),Gunboat of the United States Navy,, by 18 in 
3,529.0,USS Pinola (1861),Gunboat of the United States Navy,, horizontal 
4,529.0,USS Pinola (1861),Gunboat of the United States Navy,, engines; single screw
0,530.0,USS Pittsburgh (1861),Gunboat of the United States Navy,,Stern wheeler
0,532.0,USS Plymouth (1844),Gunboat of the United States Navy,,Sail
0,533.0,USS Pocahontas (1852),Gunboat of the United States Navy,, and sails
0,536.0,USS Pontoosuc,Gunboat of the United States Navy,,", "
0,539.0,USS Port Royal (1862),Gunboat of the United States Navy,,", side-wheel propelled"
0,540.0,USS Portsmouth (1843),Gunboat of the United States Navy,,Sail
0,544.0,USS Powhatan (1850),Ship,,", 1,500 hp (1,119 kW), side paddlewheels"
0,546.0,USS Preble (1839),Sloop-of-war of the United States Navy,,Sail
0,549.0,USS Primrose,Gunboat of the United States Navy,,", screw"
0,555.0,USS Quaker City,Gunboat of the United States Navy,,", side wheel-propelled"
0,558.0,USS Queen of the West (1854),Sidewheel steamer ram ship,,Steam engine
0,561.0,USS Racer (1861),Gunboat of the United States Navy,,sail
0,562.0,USS Rachel Seaman (1861),Gunboat of the United States Navy,,schooner sail
0,563.0,USS Raritan (1843),M,,Sail
0,565.0,USS Rebecca Sims (1801),M,,sail
0,568.0,USS Release (1855),Cargo ship of the United States Navy,,Sail
0,570.0,USS Relief (1836),Cargo ship of the United States Navy,,Sail
0,574.0,USS Restless (1861),Gunboat of the United States Navy,,sail
0,577.0,USS Richmond (1860),Gunboat of the United States Navy,,Steam
0,579.0,USS Rocket (1862),Tugboat of the United States Navy,, propelled
0,581.0,USS Roebuck,Gunboat of the United States Navy,,sail
0,582.0,USS Rosalie,Gunboat of the United States Navy,,sail
0,584.0,USS Sabine (1855),M,,Sail
0,589.0,USS Sagamore (1861),Gunboat of the United States Navy,,2 × 200 
1,589.0,USS Sagamore (1861),Gunboat of the United States Navy,, 30-in 
2,589.0,USS Sagamore (1861),Gunboat of the United States Navy,, by 18 in 
3,589.0,USS Sagamore (1861),Gunboat of the United States Navy,, horizontal 
4,589.0,USS Sagamore (1861),Gunboat of the United States Navy,, engines; single screw
0,592.0,USS Sam Houston (1861),Gunboat of the United States Navy,, sail
0,594.0,USS Samuel Rotan (1861),Gunboat of the United States Navy,,Sail
0,595.0,USS San Jacinto (1850),Screw frigate in the US Navy famous for her role in the Trent Affair of 1861,,", screw propeller"
0,597.0,USS Santee (1855),Gunboat of the United States Navy,,sail
0,599.0,USS Sarah and Caroline,Schooner,, sail
0,600.0,USS Sarah Bruen (1862),Gunboat of the United States Navy,, sail
0,603.0,USS Saratoga (1842),Sloop-of-war of the United States Navy,,Sail
0,604.0,USS Sassacus (1862),Gunboat of the United States Navy,,Steam engine
0,607.0,USS Savannah (1842),M,,Sail
0,608.0,USS Sciota (1861),Gunboat of the United States Navy,,2 × 200 
1,608.0,USS Sciota (1861),Gunboat of the United States Navy,, 30-in 
2,608.0,USS Sciota (1861),Gunboat of the United States Navy,, by 18 in 
3,608.0,USS Sciota (1861),Gunboat of the United States Navy,, horizontal 
4,608.0,USS Sciota (1861),Gunboat of the United States Navy,, engines; single screw
0,609.0,USS Sea Bird,Gunboat of the United States Navy,,schooner sail
0,610.0,USS Sea Foam (1861),Gunboat of the United States Navy,,sail
0,611.0,USS Sebago (1861),Gunboat of the United States Navy,,1 × 590 
1,611.0,USS Sebago (1861),Gunboat of the United States Navy,,", 44-inch "
2,611.0,USS Sebago (1861),Gunboat of the United States Navy,, by 7 ft 
3,611.0,USS Sebago (1861),Gunboat of the United States Navy,, inclined direct-acting 
4,611.0,USS Sebago (1861),Gunboat of the United States Navy,,; sidewheels
0,612.0,CSS Selma (1856),Steamboat,,Steam engine
0,613.0,USS Seminole (1859),Gunboat of the United States Navy,,Sail and 
0,614.0,USS Seneca (1861),Gunboat of the United States Navy,,2 × 200 
1,614.0,USS Seneca (1861),Gunboat of the United States Navy,, 30-in 
2,614.0,USS Seneca (1861),Gunboat of the United States Navy,, by 18 in 
3,614.0,USS Seneca (1861),Gunboat of the United States Navy,, horizontal 
4,614.0,USS Seneca (1861),Gunboat of the United States Navy,, engines; single screw
0,619.0,USS Shepherd Knapp,Gunboat of the United States Navy,,sail
0,623.0,USS Sidney C. Jones,Gunboat of the United States Navy,,Sails
0,642.0,USS Spuyten Duyvil,Torpedo boat of the United States Navy,,Screw steamer
0,644.0,USS St. Lawrence,"Frigate of the United States Navy, launched 1848",,Sail
0,645.0,USS St. Louis (1828),Gunboat of the United States Navy,,Sail
0,646.0,USS St. Mary's (1844),Sloop-of-war of the United States Navy,,Sail
0,653.0,USS Stonewall (1863),Tender of the United States Navy,,sail
0,655.0,USS Sumter (1862),525-ton sidewheel paddle streamer,,; 
0,658.0,USS Susan Ann Howard,Tender of the United States Navy,, sail
0,659.0,USS Susquehanna (1850),Sidewheel steam frigate,,","
0,660.0,USS Suwanee (1864),Mohongo-class gunboat,,1 × 58 inch 
1,660.0,USS Suwanee (1864),Mohongo-class gunboat,,", 8 ft 9 in "
2,660.0,USS Suwanee (1864),Mohongo-class gunboat,, inclined direct-acting 
3,660.0,USS Suwanee (1864),Mohongo-class gunboat,, with 
4,660.0,USS Suwanee (1864),Mohongo-class gunboat,,; 4 
5,660.0,USS Suwanee (1864),Mohongo-class gunboat,,"—2 × main tubular, 2 × superheating; sidewheels"
0,662.0,USS Swift (1864),Tender of the United States Navy,, sail
0,663.0,USS T. A. Ward,Gunboat of the United States Navy,, sail
0,665.0,USS Tacony (1863),Gunboat of the United States Navy,,", side wheel-propelled"
0,666.0,USS Tahoma (1861),Gunboat of the United States Navy,,2 × 200 
1,666.0,USS Tahoma (1861),Gunboat of the United States Navy,, 30-in 
2,666.0,USS Tahoma (1861),Gunboat of the United States Navy,, by 18 in 
3,666.0,USS Tahoma (1861),Gunboat of the United States Navy,, horizontal 
4,666.0,USS Tahoma (1861),Gunboat of the United States Navy,, engines; single screw
0,670.0,CSS Teaser,M,,Steam engine
0,679.0,USS Thunder,Tender of the United States Navy,,sloop sail
0,681.0,USS Tigress (1861),Gunboat of the United States Navy,,", one "
0,688.0,USS Tunxis (1864),M,,Screw steamer
0,690.0,USS Tuscumbia (1862),Gunboat of the United States Navy,,"1 x shaft, 4 x steam engines"
0,691.0,USS Two Sisters,Gunboat of the United States Navy,,sail
0,693.0,USS Unadilla (1861),Gunboat of the United States Navy,,2 × 200 
1,693.0,USS Unadilla (1861),Gunboat of the United States Navy,, 30-in 
2,693.0,USS Unadilla (1861),Gunboat of the United States Navy,, by 18 in 
3,693.0,USS Unadilla (1861),Gunboat of the United States Navy,, horizontal 
4,693.0,USS Unadilla (1861),Gunboat of the United States Navy,, engines; single screw
0,694.0,USS Uncas (1843),Gunboat of the United States Navy,,", screw-propelled"
0,696.0,USS Undine (1863),Gunboat of the United States Navy,,", stern wheel"
0,699.0,USS United States (1797),First of the six original frigates of the U.S. Navy,,Sail
0,701.0,USS Valparaiso (1836),Cargo ship of the United States Navy,,Clipper sail
0,702.0,USS Vandalia (1828),Gunboat of the United States Navy,,Sail
0,705.0,USS Velocity (1862),Gunboat of the United States Navy,,sail
0,706.0,USS Verbena,Gunboat of the United States Navy,,Screw propeller
0,707.0,USS Vermont (1848),Originally intended to be a ship of the line for the U.S. Navy,,sail
0,711.0,USS Vincennes (1826),US Navy sloop of war,,Sail
0,714.0,USS Virginia (1861),Gunboat of the United States Navy,, 
0,717.0,USS Wabash (1855),Gunboat of the United States Navy,,", and "
1,717.0,USS Wabash (1855),Gunboat of the United States Navy,, sail
0,718.0,USS Wachusett (1861),Gunboat of the United States Navy,,sail and 
1,718.0,USS Wachusett (1861),Gunboat of the United States Navy,, backup
0,723.0,USS Warren (1827),Gunboat of the United States Navy,,Sail
0,724.0,USS Water Witch (1851),US Navy gunboat,,steam
0,732.0,USS Wild Cat,Tender of the United States Navy,,sail
0,733.0,USS Wilderness,Gunboat of the United States Navy,,Steam engine
0,734.0,USS William Bacon,Gunboat of the United States Navy,,schooner sail
0,735.0,USS William Badger,Cargo ship of the United States Navy,,sail
0,736.0,USS William G. Anderson,Gunboat of the United States Navy,,sail
0,740.0,USS Winnipec,Mohongo-class gunboat,,", side-wheel propelled"
0,741.0,USS Winona (1861),Gunboat of the United States Navy,,2 × 200 
1,741.0,USS Winona (1861),Gunboat of the United States Navy,, 30-in 
2,741.0,USS Winona (1861),Gunboat of the United States Navy,, by 18 in 
3,741.0,USS Winona (1861),Gunboat of the United States Navy,, horizontal 
4,741.0,USS Winona (1861),Gunboat of the United States Navy,, engines; single screw
0,742.0,USS Wissahickon (1861),Gunboat of the United States Navy,,2 × 200 
1,742.0,USS Wissahickon (1861),Gunboat of the United States Navy,, 30-in 
2,742.0,USS Wissahickon (1861),Gunboat of the United States Navy,, by 18 in 
3,742.0,USS Wissahickon (1861),Gunboat of the United States Navy,, horizontal 
